SKU,Qty Sold,GMV
"84630500","14","176,35 "
"22142100","6","75,58 "
"23328100","1","42,01 "
"420613500","1","10,92 "
"22962100","1","15,12 "
"3774018100","2","67,21 "
"23802100","1","12,60 "
"3440001100","1","16,80 "
"64025100","8","26,82 "
"23933100","5","41,98 "
"1412760100","1","25,20 "
"19300100","5","20,97 "
"5410051500","5","105,00 "
"23077100","1","46,21 "
"18420100","2","67,21 "
"23528100","1","16,80 "
"54790100","4","6,69 "
"69305800","1","19,32 "
"64018800","414","4.519,22 "
"5659040500","3","25,19 "
"22959100","35","264,41 "
"22985100","126","1.587,17 "
"20383100","15","201,56 "
"22542100","27","408,18 "
"22661100","3","17,62 "
"23558100","1","10,92 "
"24173100","10","109,16 "
"10660111100","5","20,97 "
"3656420100","1","33,61 "
"69448800","2","84,02 "
"84361500","4","67,19 "
"23497100","3","20,14 "
"4922040500","3","12,58 "
"7450020100","3","50,39 "
"88194500","13","218,38 "
"62110100","2","33,60 "
"23144100","8","60,44 "
"17829100","1","33,61 "
"20549100","2","42,00 "
"2521902100","1","4,19 "
"2334100","17","214,14 "
"50261100","48","281,95 "
"19631100","4","50,39 "
"22628100","1","18,48 "
"69414800","1","58,82 "
"23554100","14","211,65 "
"23884100","1","12,60 "
"20277100","1","12,60 "
"2352100","8","40,27 "
"22090100","1","42,01 "
"23323100","2","30,24 "
"3726400100","5","83,99 "
"53890100","2","50,40 "
"23957100","1","12,60 "
"3657570500","12","50,32 "
"87110500","1","8,40 "
"22624100","1","13,44 "
"24135100","1","16,80 "
"24236100","4","73,92 "
"22217100","1","23,52 "
"53066100","1","4,19 "
"24159100","1","23,52 "
"8186500","8","40,27 "
"23155100","2","33,60 "
"24036100","9","136,06 "
"54823100","7","117,59 "
"23277100","1","18,48 "
"54701100","3","37,79 "
"24509100","1","23,52 "
"19616100","1","33,61 "
"22462100","5","54,58 "
"22464100","51","685,29 "
"88201500","156","1.309,62 "
"23163100","1","16,80 "
"8328500","1","42,01 "
"84371500","3","50,39 "
"69300800","1","12,60 "
"22429100","2","30,24 "
"7973500","3","25,19 "
"22500100","32","403,09 "
"54709100","218","2.746,06 "
"5633100","24","302,32 "
"54900100","1","21,00 "
"24016100","5","20,97 "
"24224100","1","7,55 "
"21884100","17","114,14 "
"23882100","3","75,61 "
"21208100","1","2,93 "
"2304100","54","589,46 "
"22473100","2","26,87 "
"52635100","1","21,00 "
"23846100","8","80,60 "
"50634100","1","67,22 "
"22940100","21","88,06 "
"819118500","2","58,81 "
"21569100","2","33,60 "
"24025100","12","403,26 "
"21801100","1","29,40 "
"50250100","10","67,14 "
"19209100","88","1.182,46 "
"86341500","42","352,59 "
"8317500","35","382,06 "
"84012500","4","50,39 "
"22521100","5","83,99 "
"54040100","19","127,57 "
"53032100","1","16,80 "
"24103100","3","15,10 "
"54774100","1","21,00 "
"4991020500","15","125,80 "
"87310500","15","315,00 "
"64521100","14","82,23 "
"23568100","2","92,42 "
"54069100","68","742,29 "
"50725100","3","100,82 "
"7450022100","7","164,65 "
"23114100","1","33,61 "
"87060500","10","83,95 "
"81361500","1","8,39 "
"20642100","1","7,55 "
"21224100","2","11,75 "
"53033100","1","21,00 "
"15438100","5","105,00 "
"7707100500","234","2.554,34 "
"18779100","10","100,76 "
"22992100","7","235,24 "
"22913100","22","110,74 "
"18943100","2","21,83 "
"22702100","31","520,75 "
"54670100","13","163,76 "
"21826100","2","21,83 "
"22501100","52","567,63 "
"64109100","76","254,82 "
"70627500","3","75,61 "
"72083500","4","50,39 "
"20541100","5","126,01 "
"22144100","23","289,72 "
"4090011500","5","25,17 "
"22667100","2","11,75 "
"18773100","13","218,38 "
"24146100","4","87,36 "
"20978100","20","218,32 "
"23668100","1","10,92 "
"20275100","5","62,98 "
"11177100","8","40,27 "
"19606100","21","123,35 "
"65504100","14","352,82 "
"24113100","9","45,30 "
"23921100","7","117,59 "
"86331500","8","67,16 "
"22444100","8","100,77 "
"22802100","38","510,61 "
"22683100","52","873,51 "
"16608100","14","470,47 "
"54690100","3","37,79 "
"69307800","1","30,24 "
"22543100","1","5,87 "
"22714100","2","50,40 "
"50296800","264","4.434,75 "
"20176100","1","5,03 "
"22696100","28","588,00 "
"18796100","1","33,61 "
"22410100","2","67,21 "
"19883100","6","75,58 "
"47044100","6","30,20 "
"82823500","4","50,39 "
"5635100","27","408,18 "
"23193100","1","21,00 "
"65506100","35","2.352,65 "
"102009100","29","243,46 "
"19620100","56","376,00 "
"3510990500","1","8,40 "
"24134100","1","5,87 "
"24179100","1","21,00 "
"87360500","47","1.184,48 "
"17947100","15","163,74 "
"1398993500","1","16,80 "
"23107100","1","16,80 "
"23108100","1","16,80 "
"23934100","9","75,56 "
"4896010500","3","12,58 "
"7730100","18","151,11 "
"22536100","3","45,35 "
"54711100","43","1.083,67 "
"15580100","29","852,70 "
"23667100","18","181,36 "
"23281100","13","240,23 "
"53155100","37","466,07 "
"23685100","9","151,18 "
"85151500","216","1.268,76 "
"84730500","5","62,98 "
"21827100","2","6,71 "
"62151100","3","75,61 "
"18719100","3","37,79 "
"23834100","2","25,19 "
"22790100","2","50,40 "
"23860100","1","16,80 "
"2310100","22","55,28 "
"20045100","3","63,00 "
"22167100","5","54,58 "
"16752100","13","174,68 "
"3572011500","1","16,80 "
"22937100","1","10,08 "
"23214100","1","21,00 "
"20829100","1","10,92 "
"23955100","1","2,93 "
"1160993100","2","33,60 "
"2126200500","44","369,38 "
"23347100","12","80,57 "
"23635100","20","151,09 "
"22912100","41","206,38 "
"20914100","16","67,09 "
"22000100","8","53,71 "
"23979100","18","151,11 "
"2002510100","8","33,55 "
"22602100","7","52,88 "
"8028500","599","3.015,13 "
"4380040500","1","21,00 "
"84920500","16","201,55 "
"54095100","16","134,32 "
"20630100","2","117,63 "
"21225100","27","340,11 "
"22954100","2","33,60 "
"24525100","2","42,00 "
"16637100","20","285,55 "
"19219100","1","25,20 "
"21775100","1","13,44 "
"24286100","2","42,00 "
"8749500","1","4,19 "
"4816010100","1","4,19 "
"23850100","1","21,00 "
"5123004500","4","117,61 "
"88501500","5","126,01 "
"18410100","50","545,80 "
"50564100","1","12,60 "
"18606100","2","73,93 "
"21557100","6","50,37 "
"5931500","24","1.209,88 "
"22280100","5","62,98 "
